district,total_holdings,total_area_ha,total_parcels,avg_parcels_per_holding,irrigated_holdings,irrigated_area_ha,irrigated_holdings_share,irrigation_area_share,agriculture_main_income,ag_main_income_share,agriculture_sufficient,ag_sufficiency_share,agriculture_insufficient,ag_insufficiency_share,loan_holdings,loan_share,subsidy_holdings,subsidy_share,power_tiller_holdings,power_tiller_share,climate_impact_holdings,climate_impact_share,insuff_10_12_months,severe_insuff_10_12_share,market_next_household,market_foot_under_30,market_access_fast_share
Achham,45214,16453.9,200019,4.4,34822,5310.7,0.77016,0.322762,40099,0.886871,10355,0.229022,34859,0.770978,4983,0.110209,1698,0.037555,12,0.000265,30012,0.663777,898,0.019861,1632,3599,0.115694
Arghakhanchi,42418,25168.2,136736,3.2,25798,4145.9,0.608185,0.164728,16863,0.397543,6200,0.146164,36218,0.853836,2962,0.069829,3922,0.092461,6676,0.157386,18770,0.442501,3115,0.073436,4121,4957,0.214013
Baglung,50802,25609.2,162753,3.2,18879,3509.2,0.371619,0.137029,34002,0.669304,8678,0.17082,42124,0.82918,3729,0.073403,2463,0.048482,12426,0.244597,24039,0.47319,3070,0.060431,2735,3448,0.121708
Baitadi,47262,19925.6,191533,4.1,17709,2915,0.374698,0.146294,36827,0.77921,11550,0.244382,35712,0.755618,2888,0.061106,985,0.020841,568,0.012018,19988,0.422919,1423,0.030109,3170,3026,0.131099
Bajhang,35330,9942.3,147725,4.2,23178,3354.3,0.656043,0.337377,30204,0.854911,6120,0.173224,29210,0.826776,3016,0.085367,904,0.025587,665,0.018823,20486,0.579847,1125,0.031843,845,1954,0.079224
Bajura,25279,6792.5,134555,5.3,17444,1961.3,0.690059,0.288745,22239,0.879742,3603,0.142529,21676,0.857471,1393,0.055105,769,0.030421,144,0.005696,16045,0.634717,245,0.009692,1273,1786,0.12101
Banke,67885,36828.3,149775,2.2,56981,25115.3,0.839375,0.681957,46448,0.684216,38085,0.561022,29801,0.438992,9268,0.136525,1778,0.026191,5708,0.084083,25915,0.381749,4537,0.066834,4092,2901,0.103012
Bara,84138,52813.8,226958,2.7,80335,48093.1,0.9548,0.910616,55298,0.65723,53084,0.630916,31053,0.369072,14173,0.168449,1725,0.020502,6819,0.081045,27163,0.322839,1917,0.022784,6907,3903,0.128479
Bardiya,80744,45157.1,178065,2.2,75367,39168.6,0.933407,0.867385,58534,0.724933,52778,0.653646,27966,0.346354,12929,0.160123,3519,0.043582,16961,0.210059,32822,0.406495,4070,0.050406,3954,3749,0.0954
Bhaktapur,25983,3895.8,68909,2.7,18274,1902.6,0.703306,0.488372,11155,0.429319,9493,0.365354,16490,0.634646,1128,0.043413,4107,0.158065,8921,0.34334,11914,0.458531,2101,0.080861,5136,5516,0.40996
Bhojpur,34784,25726.9,86269,2.5,17711,6888.2,0.509171,0.267743,29641,0.852145,9446,0.271562,25339,0.728467,2585,0.074316,5134,0.147597,480,0.013799,18367,0.52803,889,0.025558,1477,3139,0.132705
Chitwan,89519,35647.3,164336,1.8,73225,25521.2,0.817983,0.715936,60031,0.670595,51555,0.575911,37964,0.424089,13265,0.148181,4662,0.052078,1840,0.020554,32332,0.361175,6624,0.073995,8719,5466,0.158458
Dadeldhura,26984,10192.3,90987,3.4,15586,3293,0.577602,0.323087,17983,0.666432,6540,0.242366,20444,0.757634,2618,0.09702,1607,0.059554,2860,0.105989,12834,0.475615,1255,0.046509,2023,3338,0.198673
Dailekh,49646,19757.9,136217,2.7,29824,6090.2,0.600733,0.308241,40031,0.806329,10537,0.212243,39109,0.787757,6247,0.125831,1403,0.02826,169,0.003404,22017,0.44348,1386,0.027918,3562,4197,0.156287
Dang,101880,49278,236882,2.3,81165,33663.4,0.796673,0.683132,61828,0.606871,51766,0.508108,50114,0.491892,9671,0.094925,3052,0.029957,14966,0.146898,31663,0.310787,6338,0.06221,5597,9653,0.149686
Darchula,24930,11804.4,86678,3.5,8219,2105.3,0.329683,0.178349,19870,0.797032,5428,0.21773,19502,0.78227,890,0.0357,1169,0.046891,211,0.008464,12404,0.497553,700,0.028079,1381,1657,0.121861
Dhading,68780,30718.5,206270,3,37028,9590.3,0.538354,0.312199,54240,0.788601,25051,0.364219,43729,0.635781,10967,0.15945,6098,0.088659,7498,0.109014,27278,0.396598,2580,0.037511,8510,6873,0.223655
Dhankuta,31526,21780.8,72211,2.3,19803,5877.1,0.628148,0.269829,27498,0.872232,11345,0.359862,20181,0.640138,2693,0.085422,2870,0.091036,2921,0.092654,18672,0.592273,803,0.025471,2650,1266,0.124215
Dhanusha,105255,64825.5,359480,3.4,84360,46855.7,0.801482,0.722797,59278,0.563185,55455,0.526863,49801,0.473146,17278,0.164154,3581,0.034022,5391,0.051218,41081,0.3903,4614,0.043836,5434,12074,0.166339
Dolakha,40894,22444.6,155756,3.8,24963,5730.8,0.610432,0.255331,33192,0.811659,13426,0.328312,27468,0.671688,3094,0.075659,3339,0.08165,9703,0.237272,18713,0.457598,779,0.019049,3240,5608,0.216364
Dolpa,8373,2612.3,30774,3.7,3231,696.1,0.385883,0.26647,6970,0.832438,1097,0.131016,7277,0.869103,124,0.01481,41,0.004897,16,0.001911,2369,0.282933,9,0.001075,1000,243,0.148453
Doti,39572,12790.8,139573,3.5,27810,4890.9,0.70277,0.382376,28188,0.712322,9102,0.230011,30470,0.769989,2174,0.054938,915,0.023122,135,0.003412,8209,0.207445,750,0.018953,4036,4321,0.211185
Gorkha,60028,26094.4,200331,3.3,27691,7133.1,0.461301,0.273358,46528,0.775105,18471,0.307706,41557,0.692294,4250,0.0708,2226,0.037083,5827,0.097071,20027,0.333628,2224,0.037049,9317,11908,0.353585
Gulmi,55911,33855.2,175081,3.1,23044,4945.3,0.412155,0.146072,32613,0.583302,10355,0.185205,45557,0.814813,5041,0.090161,7985,0.142816,13785,0.246553,29737,0.531863,2209,0.039509,4951,10131,0.26975
Humla,9707,4305.3,60773,6.3,3757,522.1,0.38704,0.121269,8848,0.911507,2606,0.268466,7100,0.731431,461,0.047492,245,0.02524,14,0.001442,5507,0.567323,21,0.002163,721,550,0.130936
Ilam,61874,50830.8,118652,1.9,44236,16754.9,0.714937,0.329621,52066,0.841484,20920,0.338106,40954,0.661894,8699,0.140592,4627,0.074781,10551,0.170524,33474,0.541003,2926,0.04729,3112,2203,0.0859
Jajarkot,33431,12572.6,123595,3.7,14017,1831.3,0.419282,0.145658,30240,0.90455,10272,0.30726,23159,0.69274,3345,0.100057,1210,0.036194,51,0.001526,15030,0.449583,275,0.008226,1001,2488,0.104364
Jhapa,148133,94164.5,246157,1.7,119827,67733.3,0.808915,0.719308,89111,0.601561,79513,0.536768,68620,0.463232,17041,0.115039,62331,0.420777,5344,0.036076,64010,0.432112,19129,0.129134,9435,12633,0.148974
Jumla,21548,6897.1,133777,6.2,14728,1542.8,0.683497,0.223688,20104,0.932987,7511,0.348571,14037,0.651429,1346,0.062465,693,0.032161,266,0.012345,17432,0.808985,133,0.006172,641,1685,0.107945
Kailali,127016,62734.2,301579,2.4,117217,55042.3,0.922852,0.877389,80417,0.633125,76312,0.600806,50704,0.399194,21219,0.167058,8780,0.069125,63191,0.497504,34869,0.274524,8040,0.063299,5461,5295,0.084682
Kalikot,24432,8886.5,101322,4.1,20609,3697.8,0.843525,0.416114,21153,0.865791,5051,0.206737,19381,0.793263,3234,0.132367,1753,0.07175,136,0.005566,12749,0.521816,760,0.031107,566,1181,0.071505
Kanchanpur,86170,42249,164381,1.9,83621,37691.4,0.970419,0.892125,61210,0.71034,54721,0.635035,31448,0.364953,11767,0.136556,11414,0.132459,21023,0.243971,31339,0.363688,5277,0.061239,3005,4718,0.089625
Kapilvastu,84675,61216.8,331717,3.9,69845,40879.6,0.82486,0.667784,65036,0.768066,49681,0.586726,34993,0.413262,8529,0.100726,4416,0.052152,6167,0.072831,39791,0.469926,2021,0.023868,2586,2248,0.057089
Kaski,53228,19163.8,117476,2.2,36296,10316.4,0.681897,0.538327,26194,0.492109,20831,0.391354,32397,0.608646,3569,0.067051,2447,0.045972,7849,0.14746,24929,0.468344,8657,0.16264,3254,8069,0.212726
Kathmandu,50857,7405.9,87432,1.7,37087,3655.9,0.729241,0.493647,22841,0.449122,16462,0.323692,34395,0.676308,5430,0.10677,2489,0.048941,9659,0.189925,19723,0.387813,8190,0.16104,12532,5758,0.359636
Kavrepalanchok,69941,35357.7,195193,2.8,34000,7714.1,0.486124,0.218173,57275,0.818905,35073,0.501466,34868,0.498534,9629,0.137673,6908,0.098769,29763,0.425544,32808,0.469081,2218,0.031712,9004,7054,0.229594
Khotang,38131,25616.8,114529,3,20168,7141.2,0.528913,0.27877,34924,0.915895,12492,0.327607,25639,0.672393,3146,0.082505,2265,0.0594,885,0.023209,18744,0.491569,285,0.007474,882,2473,0.087986
Lalitpur,29991,6178.3,45276,1.5,25615,2854.5,0.85409,0.46202,15095,0.503318,10800,0.360108,19191,0.639892,4111,0.137074,1366,0.045547,2048,0.068287,8503,0.283518,1429,0.047648,6578,2511,0.303058
Lamjung,31912,11083.2,92551,2.9,23947,5523.5,0.750407,0.498367,22541,0.706349,14172,0.444096,17741,0.555935,2290,0.07176,2585,0.081004,5323,0.166802,10742,0.336613,1128,0.035347,2322,4757,0.221829
Mahottari,87062,59417.7,241055,2.8,61344,33969.4,0.704601,0.571705,52812,0.606602,46266,0.531414,40796,0.468586,15141,0.173911,1785,0.020503,2227,0.025579,31986,0.367393,4139,0.047541,5497,9282,0.169753
Makawanpur,67523,28207.5,121437,1.8,31619,7945.5,0.46827,0.28168,54815,0.811797,38222,0.566059,29301,0.433941,11749,0.174,2032,0.030093,9157,0.135613,27046,0.400545,892,0.01321,5143,5547,0.158316
Manang,951,488.8,5385,5.7,639,90.9,0.671924,0.185966,428,0.450053,127,0.133544,824,0.866456,22,0.023134,533,0.560463,3,0.003155,799,0.840168,12,0.012618,62,30,0.09674
Morang,145318,98232.6,289014,2,118835,81380.9,0.817758,0.828451,93633,0.644332,81083,0.557969,64235,0.442031,22062,0.151819,6731,0.046319,9238,0.063571,38014,0.261592,13781,0.094833,11323,13400,0.17013
Mugu,10929,5556,66636,6.1,5397,930.2,0.493824,0.167423,10281,0.940708,3107,0.28429,7821,0.715619,703,0.064324,670,0.061305,30,0.002745,6502,0.594931,87,0.00796,710,1030,0.159209
Mustang,2366,1182.5,9253,3.9,2013,885.5,0.850803,0.748837,2165,0.915046,1191,0.503381,1175,0.496619,76,0.032122,399,0.168639,41,0.017329,1193,0.504227,36,0.015216,223,137,0.152156
Myagdi,21792,8953.3,62755,2.9,11257,2253.3,0.516566,0.251673,16505,0.757388,6437,0.295384,15356,0.704662,1213,0.055663,1411,0.064749,6265,0.287491,9903,0.454433,483,0.022164,1540,2194,0.171347
Nawalparasi East,55412,21089.6,115102,2.1,47756,13730.8,0.861835,0.65107,33442,0.603515,27373,0.49399,28039,0.50601,5882,0.10615,4576,0.082581,2412,0.043528,17338,0.312893,3981,0.071844,2980,5839,0.159153
Nawalparasi West,55098,30123.8,162120,2.9,45541,23136.2,0.826545,0.768037,36852,0.668845,35677,0.647519,19421,0.352481,8309,0.150804,4275,0.077589,5220,0.09474,19016,0.34513,2281,0.041399,2897,2871,0.104686
Nuwakot,56915,27290.1,161803,2.8,39756,12732.1,0.698515,0.466546,44377,0.779707,30891,0.542757,26024,0.457243,5764,0.101274,13276,0.23326,16070,0.282351,19509,0.342774,1528,0.026847,6678,4874,0.202969
Okhaldhunga,32408,22284.5,101569,3.1,13662,3507.6,0.421563,0.157401,29254,0.902678,7865,0.242687,24543,0.757313,5217,0.160979,2066,0.06375,350,0.0108,20575,0.634874,400,0.012343,1090,2077,0.097723
Palpa,49742,28952.8,161234,3.2,28031,7327.6,0.563528,0.253088,36179,0.727333,26438,0.531503,23304,0.468497,3631,0.072997,6629,0.133268,19029,0.382554,22453,0.451389,136,0.002734,4360,4216,0.17241
Panchthar,36718,25047.4,85130,2.3,16475,5540.6,0.44869,0.221205,32250,0.878316,8736,0.237921,27982,0.762079,2976,0.08105,2284,0.062204,1027,0.02797,17505,0.476742,1693,0.046108,3001,3629,0.180565
Parbat,25999,9551.8,103408,4,22118,4548.8,0.850725,0.476224,18459,0.709989,10776,0.414477,15223,0.585523,1983,0.076272,3894,0.149775,9878,0.379938,12324,0.474018,710,0.027309,2938,2361,0.203816
Parsa,60217,43878.4,160719,2.7,55315,38760.6,0.918594,0.883364,37954,0.630287,39087,0.649102,21129,0.350881,10023,0.166448,1900,0.031553,3062,0.050849,20312,0.337313,1409,0.023399,3951,2583,0.108508
Pyuthan,50717,22076.1,146241,2.9,23853,5074.7,0.470316,0.229873,30834,0.607962,8370,0.165033,42347,0.834967,3465,0.06832,6198,0.122208,8095,0.159611,19130,0.377191,2902,0.057219,3482,4900,0.16527
Ramechhap,41863,24772.1,131961,3.2,16612,3702.2,0.396818,0.14945,31346,0.748776,10263,0.245157,31600,0.754843,3003,0.071734,2617,0.062513,1156,0.027614,13483,0.322074,793,0.018943,3597,4561,0.194874
Rasuwa,9312,4402.9,33586,3.6,4693,918.9,0.503973,0.208703,7634,0.819802,2610,0.280284,6702,0.719716,963,0.103415,1044,0.112113,912,0.097938,2042,0.219287,197,0.021155,1164,946,0.226589
Rautahat,86835,56935.5,230880,2.7,80684,50407.7,0.929165,0.885347,56610,0.651926,47220,0.54379,39615,0.45621,15331,0.176553,8962,0.103207,3625,0.041746,27515,0.316865,2795,0.032187,3572,4742,0.095745
Rolpa,46842,23640.7,155007,3.3,12913,2536.7,0.275671,0.107302,37085,0.791704,10992,0.234661,35850,0.765339,3498,0.074677,2559,0.05463,2601,0.055527,23112,0.493403,520,0.011101,2645,1800,0.094893
Rukum East,11845,4762.4,54077,4.6,1329,135.8,0.112199,0.028515,9769,0.824736,4399,0.37138,7446,0.62862,458,0.038666,170,0.014352,67,0.005656,4713,0.397889,44,0.003715,849,1171,0.170536
Rukum West,32773,12239.8,94593,2.9,12609,2052.4,0.384737,0.167682,29244,0.89232,8967,0.273609,23806,0.726391,2858,0.087206,1295,0.039514,1081,0.032984,14042,0.428462,303,0.009245,1672,3649,0.162359
Rupandehi,117333,65555,365828,3.1,104931,55815.4,0.894301,0.851429,75449,0.643033,79876,0.680763,37457,0.319237,11890,0.101336,9702,0.082688,4298,0.036631,47071,0.401174,4079,0.034764,5568,6392,0.101932
Salyan,49274,20444.3,136358,2.8,26604,5480.9,0.53992,0.268089,39110,0.793725,15957,0.323842,33317,0.676158,4242,0.08609,3130,0.063522,2302,0.046718,17979,0.364878,920,0.018671,3922,3733,0.155356
Sankhuwasabha,32372,25277.9,93185,2.9,17740,7818.9,0.548004,0.309318,25580,0.790189,10938,0.337885,21434,0.662115,2865,0.088502,1925,0.059465,535,0.016527,19634,0.606512,667,0.020604,1180,2297,0.107408
Saptari,104660,67291.8,340961,3.3,84633,45024.9,0.808647,0.669099,71220,0.680489,63073,0.602647,41587,0.397353,13170,0.125836,5446,0.052035,2636,0.025186,43230,0.413052,4029,0.038496,5736,9367,0.144305
Sarlahi,105230,73271.3,261141,2.5,81131,52004.8,0.770987,0.709757,71225,0.676851,56758,0.539371,48473,0.460639,19491,0.185223,1594,0.015148,7019,0.066702,28993,0.27552,6087,0.057845,5303,7958,0.126019
Sindhuli,54735,25038.5,128408,2.3,37965,11395.9,0.693615,0.455135,43625,0.797022,26552,0.485101,28183,0.514899,5589,0.10211,2807,0.051283,3263,0.059615,24855,0.454097,2255,0.041199,3201,4636,0.143181
Sindhupalchok,61865,30933,228132,3.7,40918,10322.5,0.661408,0.333705,49501,0.800145,23980,0.387618,37885,0.612382,7701,0.124481,4731,0.076473,11560,0.186858,23207,0.375123,1170,0.018912,6702,4249,0.177014
Siraha,104943,74063.1,353604,3.4,84525,50514.2,0.805437,0.682043,70007,0.667095,59850,0.57031,45093,0.42969,15159,0.14445,2575,0.024537,3961,0.037744,29182,0.278075,4686,0.044653,3379,10007,0.127555
Solukhumbu,22797,15789.3,77872,3.4,5984,1653.3,0.262491,0.10471,18433,0.808571,7256,0.318287,15541,0.681713,1255,0.055051,441,0.019345,189,0.008291,9645,0.423082,130,0.005703,1330,1235,0.112515
Sunsari,97770,66438.8,221929,2.3,80301,55932.8,0.821326,0.84187,57098,0.584003,53926,0.55156,43844,0.44844,14112,0.144339,3007,0.030756,11454,0.117153,35367,0.361737,10020,0.102485,5714,4849,0.108039
