Districts	Total holdings	Total Area (ha)	Total no. of parcels	Average no. of parcels
 Taplejung 	24032	20284.8	50433	2.1
 Sankhuwasabha 	32372	25277.9	93185	2.9
 Solukhumbu 	22797	15789.3	77872	3.4
 Okhaldhunga 	32408	22284.5	101569	3.1
 Khotang 	38131	25616.8	114529	3
 Bhojpur 	34784	25726.9	86269	2.5
 Dhankuta 	31526	21780.8	72211	2.3
 Terhthum 	18698	15220.6	35938	1.9
 Panchthar 	36718	25047.4	85130	2.3
 Ilam 	61874	50830.8	118652	1.9
 Jhapa 	148133	94164.5	246157	1.7
 Morang 	145318	98232.6	289014	2
 Sunsari 	97770	66438.8	221929	2.3
 Udayapur 	61546	26241.5	126805	2.1
 Saptari 	104660	67291.8	340961	3.3
 Sirah 	104943	74063.1	353604	3.4
 Dhanusha 	105255	64825.5	359480	3.4
 Mahottari 	87062	59417.7	241055	2.8
 Sarlahi 	105230	73271.3	261141	2.5
 Rautahat 	86835	56935.5	230880	2.7
 Bara 	84138	52813.8	226958	2.7
 Parsa 	60217	43878.4	160719	2.7
 Dolakha 	40894	22444.6	155756	3.8
 Sindhupalchok 	61865	30933	228132	3.7
 Rasuwa 	9312	4402.9	33586	3.6
 Dhading 	68780	30718.5	206270	3
 Nuwakot 	56915	27290.1	161803	2.8
 Kathmandu 	50857	7405.9	87432	1.7
 Bhaktapur 	25983	3895.8	68909	2.7
 Lalitpur 	29991	6178.3	45276	1.5
 Kavreplanchok 	69941	35357.7	195193	2.8
 Ramechap 	41863	24772.1	131961	3.2
 Sindhuli 	54735	25038.5	128408	2.3
 Makawanpur 	67523	28207.5	121437	1.8
 Chitwan 	89519	35647.3	164336	1.8
 Gorkha 	60028	26094.4	200331	3.3
 Manag 	951	488.8	5385	5.7
 Mustang 	2366	1182.5	9253	3.9
 Myagdi 	21792	8953.3	62755	2.9
 Kaski 	53228	19163.8	117476	2.2
 Lamjung 	31912	11083.2	92551	2.9
 Tanahu 	58595	26099.6	150860	2.6
 Nawalparasi East 	55412	21089.6	115102	2.1
 Syangja 	51592	24456.6	213367	4.1
 Parbat 	25999	9551.8	103408	4
 Baglung 	50802	25609.2	162753	3.2
 Rukum East 	11845	4762.4	54077	4.6
 Rolpa 	46842	23640.7	155007	3.3
 Pyuthan 	50717	22076.1	146241	2.9
 Gulmi 	55911	33855.2	175081	3.1
 Arghakhanchi 	42418	25168.2	136736	3.2
 Palpa 	49742	28952.8	161234	3.2
 Nawalparasi West 	55098	30123.8	162120	2.9
 Rupandehi 	117333	65555	365828	3.1
 Kapilbastu 	84675	61216.8	331717	3.9
 Dang 	101880	49278	236882	2.3
 Banke 	67885	36828.3	149775	2.2
 Bardiya 	80744	45157.1	178065	2.2
 Dolpa 	8373	2612.3	30774	3.7
 Mugu 	10929	5556	66636	6.1
 Humla 	9707	4305.3	60773	6.3
 Jumla 	21548	6897.1	133777	6.2
 Kalikot 	24432	8886.5	101322	4.1
 Dailekha 	49646	19757.9	136217	2.7
 Jajarkot 	33431	12572.6	123595	3.7
 Rukum West 	32773	12239.8	94593	2.9
 Salyan 	49274	20444.3	136358	2.8
 Surkhet 	62526	24139.2	133879	2.1
 Bajura 	25279	6792.5	134555	5.3
 Bajhang 	35330	9942.3	147725	4.2
 Darchula 	24930	11804.4	86678	3.5
 Baitadi 	47262	19925.6	191533	4.1
 Dadeldhura 	26984	10192.3	90987	3.4
 Doti 	39572	12790.8	139573	3.5
 Achham 	45214	16453.9	200019	4.4
 Kailali 	127016	62734.2	301579	2.4
 Kanchanpur 	86170	42249	164381	1.9
