Districts	Total no. of holdings	Total area (ha)	No. of holdings reporting irrigation	Total area (ha) of irrigation	Number of holdings reporting irrigation by gravity	Total area (ha) of irrigation by gravity	Number of holdings reporting irrigation by pumping	Total area (ha) of irrigation by pumping	Number of holdings reporting irrigation by dam or reservoir	Total area (ha) of irrigation by dam or reservoir	Number of holdings reporting irrigation by tubewell or boring	Total area (ha) of irrigation by tubewell or boring	Number of holdings reporting irrigation by other types	Total area (ha) of irrigation by other types	Number of holdings reporting irrigation by mixed types	Total area (ha) of irrigation by mixed types
Taplejung	24032	20284.8	14706	8205.8	10559	5927.7	2942	1447.8	244	174.2	0		1533	472.8	472	183.4
Sankhuwasabha	32372	25277.9	17740	7818.9	7664	3365.2	3953	1505.8	2597	925.1	0		4031	1713.2	928	309.5
Solukhumbu	22797	15789.3	5984	1653.3	4126	1192	1114	264.5	71	21.4	28	1.4	736	134.1	173	39.9
Okhaldhunga	32408	22284.5	13662	3507.6	11116	2722	785	173.5	9	1.7	666	115.5	1901	416.5	285	78.4
Khotang	38131	25616.8	20168	7141.2	18832	6710.6	577	173.7	63	23.6	0		1411	215.2	66	18.1
Bhojpur	34784	25726.9	17711	6888.2	9530	3685.4	3866	1160	1052	435.5	0		5034	1522.7	324	84.5
Dhankuta	31526	21780.8	19803	5877.1	14227	4514.7	4183	934.8	410	104	114	15.6	1840	240.8	414	67.2
Terhthum	18698	15220.6	9825	5182.2	4660	2571.9	2448	1132.5	1174	646.1	0		1641	664.7	397	167
Panchthar	36718	25047.4	16475	5540.6	10458	3535.2	3684	1093.5	40	6.3	0		2984	749.4	495	156.2
Ilam	61874	50830.8	44236	16754.9	19500	7257.3	12379	4802.9	682	233	1395	492	8403	3097.2	4056	872.4
Jhapa	148133	94164.5	119827	67733.3	21857	9483.4	11214	5925.7	4134	1789.3	81398	44383.5	10969	4530.4	3068	1620.9
Morang	145318	98232.6	118835	81380.9	24853	12819.2	18259	12070.1	17785	10282.1	61760	39298.2	8325	3407.8	6050	3503.4
Sunsari	97770	66438.8	80301	55932.8	18265	10579.9	5888	3192.4	15499	10916	46603	27913.5	7291	1652.1	3525	1679
Udayapur	61546	26241.5	37297	11295.5	13754	3737.4	8066	2446.1	3189	987.8	11659	2778.3	4840	1186.5	678	159.3
Saptari	104660	67291.8	84633	45024.9	19225	7594.3	13831	5925	4352	1783.5	58616	24213.3	11421	4267.7	2919	1241.1
Sirah	104943	74063.1	84525	50514.2	24660	9982.2	9637	3891.5	3657	1449.7	55842	31009.6	5825	1797.3	4957	2383.9
Dhanusha	105255	64825.5	84360	46855.7	17211	5984.6	18101	6431.1	3991	1257.1	61602	28637.1	6988	2301.3	5910	2244.6
Mahottari	87062	59417.7	61344	33969.4	15735	4886.8	11469	5731.5	3822	1595.9	32038	16928.5	6781	2747.6	5077	2079.2
Sarlahi	105230	73271.3	81131	52004.8	22527	10519.3	11247	5683.6	9964	6000	43060	26936	6153	2507.3	1127	358.5
