District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhathum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Sirah,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kabhrepalanchok,Ramechhap,Sindhuli,Makawanpur,Chitawan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi_E,Syangja,Parbat,Baglung,Rukum_E,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi_W,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekh,Jajarkot,Rukum_W,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total area (ha) of holdings,20284.8,25277.9,15789.3,22284.5,25616.8,25726.9,21780.8,15220.6,25047.4,50830.8,94164.5,98232.6,66438.8,26241.5,67291.8,74063.1,64825.5,59417.7,73271.3,56935.5,52813.8,43878.4,22444.6,30933,4402.9,30718.5,27290.1,7405.9,3895.7,6178.3,35357.7,24772.1,25038.5,28207.5,35647.3,26094.4,488.8,1182.5,8953.3,19163.8,11083.2,26099.6,21089.6,24456.6,9551.8,25609.2,4762.4,23640.7,22076.1,33855.2,25168.2,28952.8,30123.8,65555,61216.8,49278.1,36828.3,45157.1,2612.3,5556,4305.3,6897.1,8886.5,19757.9,12572.6,12239.8,20444.3,24139.2,6792.5,9942.3,11804.4,19925.6,10192.3,12790.8,16453.9,62734.2,42249
Total number of holdings that use iron ploughs,795,38,414,2319,228,163,201,25,271,7470,24387,25171,17857,20361,32487,19547,26638,14256,15846,14647,16999,13478,4782,10202,355,9009,7160,3675,522,4495,11865,4787,14676,21582,5798,5317,41,163,4039,8644,5464,13899,10314,9838,2546,3647,0,4412,4794,1806,10391,3442,10788,11196,13164,34467,26660,35182,963,40,17,42,31,1044,85,2952,7697,11534,65,431,591,3924,2466,1182,0,57076,39937
Total number of holding that use iron ploughs by ownership,550,,399,2273,30,131,43,8,298,4747,19107,13925,14498,19209,28391,17601,20946,12044,12946,8343,7701,4173,2654,5581,,4308,1891,4864,183,6004,1875,2443,12753,16204,2083,2802,,5,2734,3471,1658,5403,7270,2822,1649,876,,4185,4072,434,10541,643,5158,6168,5716,32969,22707,33596,1310,10,11,42,,825,62,2888,7542,9684,25,511,316,3681,2672,1244,,49296,26623
Total number of holdings that use iron ploughs by ownership under own type of ownership,476,,399,2049,30,131,43,8,298,4612,17742,13647,13288,17942,27251,17146,19539,11269,11808,7629,7279,3892,2118,4510,,3819,1677,4748,156,5942,1482,2155,12347,15318,2083,2611,,5,2527,3326,1524,5205,7134,2414,1489,801,,4037,3871,293,9298,589,2331,5883,5618,32181,20593,32751,1216,10,0,42,,769,48,2759,7158,8415,25,461,307,3573,2620,1244,,47312,25678
Total number of holdings that use iron ploughs by ownership under common ownership,0,,0,191,0,0,0,0,0,0,141,61,112,93,226,102,254,110,163,195,28,126,90,329,,122,14,89,0,42,48,77,64,94,0,43,,0,8,0,56,30,54,56,23,26,,92,12,0,47,27,41,169,43,145,686,223,0,0,11,0,,0,0,55,216,188,0,31,9,85,23,0,,678,381
Total number of holdings that use iron ploughs by ownership under other's ownership,74,,0,33,0,0,0,0,0,135,1224,217,1098,1174,915,353,1153,665,975,519,394,155,446,742,,367,201,27,27,21,345,211,341,792,0,148,,0,199,144,78,168,81,352,136,49,,55,189,141,1196,27,2787,116,55,644,1428,622,94,0,0,0,,55,14,74,168,1081,0,18,0,23,28,0,,1306,563
Total number of holdings that use power tillers,211,535,189,350,885,480,2921,1171,1027,10551,5344,9238,11454,1048,2636,3961,5391,2227,7019,3625,6819,3062,9703,11560,912,7498,16070,9659,8921,2048,29763,1156,3263,9157,1840,5827,3,41,6265,7849,5323,8371,2412,15068,9878,12426,67,2601,8095,13785,6676,19029,5220,4298,6167,14966,5708,16961,16,30,14,266,136,169,51,1081,2302,9654,144,665,211,568,2860,135,12,63191,21023
Total number of holding that use power tillers by ownership,171,499,210,253,535,400,1851,643,497,3051,771,2167,1648,585,703,791,1092,455,699,272,768,354,4529,4832,269,1944,4262,2055,1453,397,8415,167,966,1860,132,1417,2,67,1833,1345,1471,1358,496,3277,3530,4768,,785,1578,4224,2302,2999,1217,965,704,2716,891,3346,9,,,224,53,145,27,980,1121,2850,105,541,102,466,1328,99,12,16029,2913
Total number of holdings that use power tillers by ownership under own type of ownership,68,404,177,152,122,297,795,442,338,1525,613,1474,1348,461,529,490,368,399,367,223,519,202,1717,2444,241,1690,3300,1324,1154,280,5145,142,731,1270,90,845,2,56,1306,949,1126,897,437,1916,2581,2868,,261,748,1944,1360,1868,593,750,626,2082,730,2950,0,,,73,7,46,17,283,433,1605,0,59,21,109,836,35,0,11915,2290
