District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhthum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Siraha,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kavreplanchok,Ramechap,Sindhuli,Makawanpur,Chitwan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi East,Syangja,Parbat,Baglung,Rukum East,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi West,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekha,Jajarkot,Rukum West,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total number of holdings with agricultural loan,2081,2865,1255,5217,3146,2585,2693,1702,2976,8699,17041,22062,14112,3963,13170,15159,17278,15141,19491,15331,14173,10023,3094,7701,963,10967,5764,5430,1128,4111,9629,3003,5589,11749,13265,4250,22,76,1213,3569,2290,4511,5882,2608,1983,3729,458,3498,3465,5041,2962,3631,8309,11890,8529,9671,9268,12929,124,703,461,1346,3234,6247,3345,2858,4242,7356,1393,3016,890,2888,2618,2174,4983,21219,11767
Total number of holdings with agricultural loan from cooperatives,638,805,327,1085,841,1010,763,688,1141,3855,10141,8831,4602,1339,3924,4108,6618,3284,6748,5135,4156,3074,1995,3974,422,6011,1581,1777,566,2341,4550,1254,2298,5186,6407,1467,2,28,387,867,678,1682,2820,1209,1012,1375,83,1038,1460,2590,1564,1913,3656,5406,2235,2556,3296,6034,19,523,259,640,1411,3282,820,1386,1427,4512,386,806,370,1171,1339,738,1902,6952,4772
Total number of holdings with agricultural loan from commercial banks,40,304,85,294,85,188,337,168,248,743,1302,1034,1299,161,590,824,1105,294,702,1111,408,1292,151,293,120,825,520,472,88,214,564,87,440,375,1068,189,8,22,135,742,47,370,354,259,175,274,32,204,78,142,75,299,774,539,574,1133,521,291,0,50,50,105,131,358,36,187,80,250,145,197,26,102,332,158,181,562,597
Total number of holdings with agricultural loan from development bank,102,289,97,333,299,200,498,314,507,1148,1641,3830,2667,479,1506,2616,1950,1673,2309,1345,946,940,196,542,112,1585,1200,1360,146,317,1034,176,476,1146,2614,656,9,17,326,946,533,1141,1073,550,294,341,10,370,304,395,346,379,1181,2351,1441,1250,885,999,21,40,29,115,400,229,150,190,224,231,104,125,97,653,139,182,242,1396,981
Total number of holdings with agricultural loan from financial institution,184,121,341,762,338,398,778,166,457,1991,742,3912,3295,568,1252,1258,721,1200,1330,3077,2584,1879,323,943,107,1299,902,521,82,369,1581,312,870,977,1110,559,0,4,75,406,517,359,478,132,260,362,38,441,610,281,105,447,688,852,883,1805,1283,2462,0,0,6,112,76,481,721,176,890,520,98,85,80,299,500,254,933,4390,1845
Total number of holdings with agricultural loan from farmer's group,249,274,106,734,720,321,256,223,265,1346,1809,1803,643,549,1161,1126,1552,1737,2528,605,992,476,259,640,19,1974,639,530,53,715,776,521,678,2885,1501,481,2,0,57,241,230,580,539,345,110,272,64,781,874,1128,648,458,611,1607,1415,1320,1341,2413,84,20,66,292,1090,1507,428,419,861,1011,277,373,67,390,495,240,1232,3209,1901
Total number of holdings with agricultural loan from women's group,222,258,169,849,249,299,148,206,120,839,1549,1655,1338,501,1200,1871,3068,1450,3343,854,587,1224,403,1957,132,1608,1045,809,254,974,1838,461,679,2355,1183,667,0,0,120,221,283,549,558,276,201,161,21,745,789,682,239,278,1151,1222,1383,1663,2234,1674,0,36,93,199,607,1616,189,239,595,452,451,802,140,92,359,436,825,6173,2546
Total number of holdings with agricultural loan from relatives,595,979,279,1666,757,296,123,144,405,1064,1955,2247,1411,556,2361,3130,1814,2337,2398,1207,2015,1795,502,978,91,1110,541,1496,144,553,1028,349,1152,1232,1063,988,0,7,110,229,185,348,319,184,163,480,19,1400,325,831,130,202,720,828,1913,1525,1148,1053,0,64,103,10,644,737,1423,624,516,986,305,1207,230,773,291,531,761,1460,1504
Total number of holdings with agricultural loan from traders,117,0,11,8,20,11,10,0,0,33,107,496,103,113,0,38,45,44,17,103,58,48,13,12,0,35,21,159,0,0,122,15,9,0,30,31,0,3,10,9,0,37,62,10,0,26,0,0,0,46,0,0,15,52,12,41,18,12,0,0,5,0,50,0,24,63,10,32,8,0,0,13,28,16,57,126,53
Total number of holdings with agricultural loan from money lender_land lord,645,176,106,325,335,189,20,153,84,597,1199,1646,1643,273,3012,3048,5564,6165,6444,4776,4210,748,223,326,0,522,424,202,0,226,120,252,125,315,150,610,0,9,61,113,37,82,28,76,33,849,201,984,270,446,33,48,203,366,587,76,403,150,0,20,13,21,534,386,49,322,533,232,29,336,36,53,119,602,308,1704,206
Total number of holdings with agricultural loan from other,110,143,54,131,127,138,53,27,144,69,218,347,117,83,385,357,443,356,772,378,249,373,20,302,32,97,119,92,0,112,155,183,127,37,152,99,2,0,32,182,102,86,112,75,25,62,44,13,135,24,173,32,245,190,178,233,349,222,6,0,5,0,44,139,129,72,23,107,19,200,37,47,88,48,188,142,220
