District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhathum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Sirah,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kabhrepalanchok,Ramechhap,Sindhuli,Makawanpur,Chitawan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi_E,Syangja,Parbat,Baglung,Rukum_E,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi_W,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekh,Jajarkot,Rukum_W,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total number of holdings received government subsidy,1363,1925,441,2066,2265,5134,2870,1928,2284,4627,62331,6731,3007,1620,5446,2575,3581,1785,1594,8962,1725,1900,3339,4731,1044,6098,13276,2489,4107,1366,6908,2617,2807,2032,4662,2226,533,399,1411,2447,2585,5775,4576,4837,3894,2463,170,2559,6198,7985,3922,6629,4275,9702,4416,3052,1778,3519,41,670,245,693,1753,1403,1210,1295,3130,2845,769,904,1169,985,1607,915,1698,8780,11414
Total number of agricultural holdings that received chemical fertilizer through government subsidy,634,93,29,113,299,4050,420,1134,85,386,57067,1049,146,287,1909,1320,1486,634,498,5439,922,1168,401,2814,552,2444,11819,1130,1029,78,1220,86,198,90,1203,296,16,108,115,91,766,1543,1480,637,311,101,0,369,4644,2775,233,375,1903,5823,1246,795,464,977,0,21,13,147,661,289,284,585,168,864,62,169,19,273,242,14,281,2769,8417
Total number of agricultural holdings that received organic manurethrough government subsidy,168,33,0,46,23,24,93,125,18,12,388,82,51,61,75,397,68,96,52,110,71,224,47,73,8,68,49,62,45,78,32,42,51,26,13,30,15,97,78,74,7,45,137,126,81,0,0,0,15,125,16,71,145,103,66,81,101,28,5,280,6,74,77,182,115,75,96,44,21,145,68,136,28,0,77,43,18
Total number of agricultural holdings that received agricultural infrastracture through government subsidy,185,341,106,152,196,137,462,247,646,953,926,247,236,386,195,165,150,29,54,100,0,38,805,177,102,276,365,216,235,318,248,307,429,256,628,392,11,7,316,648,387,1058,272,421,980,568,30,392,247,1347,361,681,167,604,312,617,129,484,7,40,0,143,362,217,118,236,162,270,66,102,158,166,424,61,275,489,157
Total number of agricultural holdings that received irrigation through government subsidy,115,61,40,72,62,83,126,63,98,91,2512,400,334,313,527,347,464,77,493,1311,220,156,188,154,21,93,76,17,5,54,80,70,142,172,674,143,17,5,71,156,12,346,86,193,101,30,0,102,75,153,82,97,270,759,327,186,303,315,0,230,83,135,155,390,313,64,346,143,36,280,220,298,68,53,109,423,544
Total number of agricultural holdings that received custom through government subsidy,14,18,0,26,13,72,58,33,29,251,496,43,0,58,42,125,210,21,52,93,10,0,44,83,35,143,86,108,0,9,108,12,35,25,141,31,0,3,22,124,67,64,77,27,70,19,0,13,0,46,62,74,29,33,178,37,31,14,0,10,0,31,314,90,14,105,239,0,25,0,9,88,28,0,73,44,9
Total number of agricultural holdings that received electricity through government subsidy,0,8,10,0,20,19,30,0,0,44,6865,43,142,76,81,340,184,635,16,3458,7,26,88,47,7,19,20,0,15,15,141,0,66,0,54,0,1,0,38,0,29,19,53,26,28,0,0,145,16,95,13,0,24,721,217,91,43,42,0,170,0,0,91,62,0,31,23,32,0,20,0,0,28,0,31,43,79
Total number of agricultural holdings that received seed_seeding grass through government subsidy,459,1213,123,1447,1253,1282,1368,664,819,2704,4982,3283,1584,642,3539,1121,1886,576,645,2050,732,617,1410,1619,544,2755,1150,395,2366,357,2871,1486,1342,902,1148,1053,494,211,604,736,570,2182,2597,3617,1329,984,99,1709,1136,4179,2296,4429,1219,3005,2472,1022,775,909,25,369,154,124,1100,692,728,332,2354,1624,501,535,756,452,736,540,1174,4538,3096
Total number of agricultural holdings that received improved breed through government subsidy,89,68,24,44,47,117,113,26,73,184,314,359,77,97,71,44,216,21,26,76,48,134,90,54,23,34,74,187,672,68,182,101,229,132,170,98,0,3,44,242,144,174,23,206,46,108,0,68,203,578,62,307,43,111,76,152,64,60,0,20,10,23,118,11,31,164,117,140,42,12,81,49,32,95,86,82,65
Total number of agricultural holdings that received agricultural implement through government subsidy,207,210,87,151,384,139,1041,306,531,1140,5228,2377,767,174,314,109,496,69,111,489,388,516,964,944,22,1443,1056,1547,430,511,2488,429,644,563,1029,425,24,240,462,890,374,1172,748,816,1360,509,10,263,261,1138,626,884,768,1030,991,306,314,802,5,20,20,62,187,320,154,153,445,628,65,121,215,91,450,99,74,1441,564
Total number of agricultural holdings that received other through government subsidy,66,157,139,160,432,160,167,38,239,272,791,358,157,107,519,15,54,71,59,68,19,95,250,192,78,69,62,140,96,231,355,447,210,54,643,229,5,5,144,331,490,613,174,266,329,352,30,68,280,424,577,527,265,211,158,611,148,503,19,31,30,72,37,297,40,305,93,291,106,47,162,99,99,129,137,255,183
