District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhathum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Sirah,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kabhrepalanchok,Ramechhap,Sindhuli,Makawanpur,Chitawan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi_E,Syangja,Parbat,Baglung,Rukum_E,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi_W,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekh,Jajarkot,Rukum_W,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total number of holdings with knowledge about climate change,12323,20388,10222,21443,19392,19826,19650,7909,18814,36513,69883,44183,39357,22859,50269,34513,45441,35077,34720,32042,32457,22529,19698,24334,2120,29870,20546,24184,12592,11014,34810,13992,25628,28771,36807,21127,810,1228,10885,31066,11830,23792,21390,21064,13677,25986,4926,25499,20817,31948,20317,24601,19932,53568,42194,38140,29165,35662,2445,6949,5716,17603,13162,24976,16618,14717,20652,23531,16542,21252,13214,21547,13211,8831,30858,37819,33532
Total number of holdings reporting impact on agriculture due to climate change,11455,19634,9645,20575,18744,18367,18672,6637,17505,33474,64010,38014,35367,21503,43230,29182,41081,31986,28993,27515,27163,20312,18713,23207,2042,27278,19509,19723,11914,8503,32808,13483,24855,27046,32332,20027,799,1193,9903,24929,10742,20345,17338,16952,12324,24039,4713,23112,19130,29737,18770,22453,19016,47071,39791,31663,25915,32822,2369,6502,5507,17432,12749,22017,15030,14042,17979,21757,16045,20486,12404,19988,12834,8209,30012,34869,31339
Total number of holdings reporting a decrease in production due to climate change,10149,17695,8214,17691,15466,16570,15125,5140,15253,28487,53193,30290,28709,19116,38711,24255,33602,24802,25840,22345,21718,17330,15633,18882,1772,22935,16870,16262,9952,7560,27381,11785,22211,21753,27438,15900,771,952,7605,20619,8092,16695,14915,12822,9558,20189,4008,20415,15469,25083,16831,18873,15048,40555,35204,26547,21142,27592,1957,5395,4992,15655,11327,18352,12990,12605,13794,17929,14784,19606,11437,18230,10849,7134,27300,29528,27923
Total number of holdings reporting an increase in production due to climate change,796,968,1545,1478,1987,1002,1118,644,2057,1637,2630,1427,1050,761,5327,2296,3507,2069,2296,2073,2861,4197,1103,1649,62,3011,1664,2125,1084,2535,2873,1165,1168,1260,915,1513,22,44,1721,2602,1074,1671,568,1534,1087,1859,539,6150,1180,2600,1409,1902,2408,2544,3850,1961,4804,2671,219,426,841,4768,2255,3288,2786,1418,1549,2278,2402,4964,855,901,1221,1646,5845,2145,3071
Total number of holdings reporting changes in size of product due to climate change,1880,6594,1273,4339,3906,4658,4764,1482,3683,7745,11812,6629,9053,6753,12866,9279,14221,8090,7220,6895,6098,6861,3057,3416,448,8248,3304,3346,2162,3861,11463,3480,5670,7925,5957,4245,277,320,2484,5251,2560,3586,1637,3970,2683,5858,786,9513,4956,5971,6676,3410,4750,10434,10806,7695,7377,6094,703,1223,2591,8862,2929,5129,4168,3695,3049,5708,5143,8236,3053,4893,4925,2504,10722,10077,7258
Total number of holdings reporting changes in taste due to climate change,1372,5145,2468,5273,2477,2183,2049,877,2438,6240,11325,4907,5843,2801,7856,5141,11903,6810,5116,5019,5207,5261,4034,5662,357,8201,3237,6094,2473,4474,10278,3438,4562,4206,3099,3603,201,291,1310,4934,1245,3724,759,3824,3216,3351,498,6007,2043,4815,3049,2652,2811,4796,10405,5255,8286,4201,581,807,1824,7451,3309,4776,4445,3098,1568,4101,4422,6560,3480,2563,5399,3507,10792,9938,7332
Total number of holdings reporting changes in cultivating time due to climate change,2862,6947,1995,8050,8209,9492,8318,2945,6916,12704,17958,11817,13315,9205,17999,9356,16484,15182,9690,10232,9323,10119,7831,7252,1133,12436,8025,7162,4743,5043,17670,5943,12572,12211,7877,8195,140,315,3160,8070,3868,6409,3862,6453,4871,11827,2162,13808,8632,12479,9916,10131,6403,19730,16971,11306,9474,15699,645,1434,3146,8418,4752,9436,7221,7968,6362,10720,7883,10098,5026,7904,8580,3590,17628,14132,11193
Total number of holdings reporting heavy rain and light rain due to climate change,4485,11629,4793,10376,8203,9113,9750,2578,8506,16436,30325,17754,19417,10269,22709,11370,22925,18516,12445,12946,9775,10409,9472,11702,1228,15414,11180,10563,5921,4723,21264,7026,13162,14128,17482,9650,485,416,5824,17850,6193,11389,7803,8959,7116,14149,2497,14362,10492,14503,6898,12087,10147,30280,25908,17537,13537,22230,1581,2291,4384,9482,7454,9696,9093,4934,8515,12938,9499,10954,6557,7813,8460,4939,22216,23806,20816
Total number of holdings reporting a increase in disease_insects due to climate change,8447,17185,6457,15137,14997,14403,13835,4625,12030,23588,35464,25315,26158,15221,20906,13797,25599,18602,17125,13849,13971,12382,14621,16669,1188,16061,12807,11375,7000,5439,22117,9730,18464,17366,15854,12676,303,859,6288,13919,7845,11940,9871,8107,7170,12995,1489,14616,11952,17335,11472,14414,9739,27161,20543,22482,14433,19241,208,1421,3638,8132,5933,12063,7608,9943,9654,12827,9434,12969,7607,12519,9101,4715,18838,18866,16596
