district,total_holdings,farm_pop_male,farm_pop_female
Achham,45214,107278,120866
Arghakhanchi,42418,74107,86884
Baglung,50802,93548,106923
Baitadi,47262,126760,125586
Bajhang,35330,99625,103587
Bajura,25279,68336,69959
Banke,67885,176262,177055
Bara,84138,277846,245364
Bardiya,80744,171304,195305
Bhaktapur,25983,60409,61402
Bhojpur,34784,69660,71942
Chitwan,89519,188824,203035
Dadeldhura,26984,58099,67960
Dailekh,49646,127373,128703
Dang,101880,214583,236854
Darchula,24930,66579,66348
Dhading,68780,127670,138791
Dhankuta,31526,61547,65043
Dhanusha,105255,293332,280450
Dolakha,40894,68022,73189
Dolpa,8373,17950,17442
Doti,39572,86390,103844
Gorkha,60028,97760,112126
Gulmi,55911,94451,115563
Humla,9707,25488,24314
Ilam,61874,120082,120302
Jajarkot,33431,88011,86339
Jhapa,148133,305377,336487
Jumla,21548,55033,53935
Kailali,127016,313378,337265
Kalikot,24432,72329,69371
Kanchanpur,86170,200918,226231
Kapilvastu,84675,262463,259933
Kaski,53228,101534,110451
Kathmandu,50857,115738,117612
Kavrepalanchok,69941,131013,141109
Khotang,38131,75596,78817
Lalitpur,29991,60446,61010
Lamjung,31912,55433,61046
Mahottari,87062,256915,235646
Makawanpur,67523,150503,152251
Manang,951,1430,1558
Morang,145318,313877,335136
Mugu,10929,31326,29772
Mustang,2366,3800,4116
Myagdi,21792,40306,43240
Nawalparasi East,55412,110928,127398
Nawalparasi West,55098,143385,147794
Nuwakot,56915,104001,111538
Okhaldhunga,32408,65635,65819
Palpa,49742,86514,104723
Panchthar,36718,73374,75765
Parbat,25999,44354,50460
Parsa,60217,193014,177737
Pyuthan,50717,94607,117079
Ramechhap,41863,67189,76627
Rasuwa,9312,19347,18748
Rautahat,86835,291101,269985
Rolpa,46842,109667,119680
Rukum East,11845,24978,26845
Rukum West,32773,75407,77873
Rupandehi,117333,334539,331403
Salyan,49274,110050,114236
Sankhuwasabha,32372,62842,65422
Saptari,104660,278156,271204
Sarlahi,105230,306246,282541
Sindhuli,54735,116017,124043
Sindhupalchok,61865,115581,119517
Siraha,104943,290414,280398
Solukhumbu,22797,46219,46177
Sunsari,97770,236475,249207
Surkhet,62526,133484,146581
Syangja,51592,89919,104873
Tanahu,58595,98509,116458
Taplejung,24032,51318,50625
Terhathum,18698,38102,39225
Udayapur,61546,123740,133986
