District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhathum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Sirah,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kabhrepalanchok,Ramechhap,Sindhuli,Makawanpur,Chitawan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi_E,Syangja,Parbat,Baglung,Rukum_E,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi_W,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekh,Jajarkot,Rukum_W,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings reporting insufficiency of own produce for household consumption,15462,21434,15541,24543,25639,25339,20181,10330,27982,40954,68620,64235,43844,35481,41587,45093,49801,40796,48473,39615,31053,21129,27468,37885,6702,43729,26024,34395,16490,19191,34868,31600,28183,29301,37964,41557,824,1175,15356,32397,17741,35517,28039,38229,15223,42124,7446,35850,42347,45557,36218,23304,19421,37457,34993,50114,29801,27966,7277,7821,7100,14037,19381,39109,23159,23806,33317,35378,21676,29210,19502,35712,20444,30470,34859,50704,31448
Total number of holdings reporting insufficiency of their own produce for household consumption for 1 to 3 months,4835,5407,6179,10358,7314,6626,6235,3367,4748,9445,12110,10760,7658,5265,11237,10964,13393,10976,10871,10488,11546,8501,7397,11277,1854,8521,5862,5779,2449,3750,7725,5712,4831,8972,7503,10253,173,390,4106,4174,4082,4864,3838,6995,4093,5396,2841,7726,6117,8269,4247,14677,6218,12396,11334,9785,8128,5606,4458,3305,1970,5844,3438,10633,8301,8323,8503,7886,5430,8791,5394,8534,3504,7103,8799,12220,6187
Total number of holdings reporting insufficiency of their own produce for household consumption for 4 to 6 months,7745,11112,7712,11376,14001,13083,9142,5229,14678,20194,21324,24140,16341,18517,19833,19459,22940,17286,21551,17548,13399,9026,15561,18792,3427,23390,14671,11084,6675,9207,17928,19558,15004,15363,15121,20374,474,581,8637,10853,9009,17288,12209,18641,7450,20377,3872,21785,21222,24399,15547,6895,8123,13833,15581,20947,10661,12488,2394,3989,4639,6623,10409,19054,11525,13433,16772,19151,12709,14445,9625,18055,9704,17286,19458,19347,12667
Total number of holdings reporting insufficiency of their own produce for household consumption for 7 to 9 months,2401,4247,1520,2409,4040,4741,4001,1501,6864,8390,16057,15554,9826,8508,6487,9983,8854,8395,9963,8784,4190,2193,3730,6646,1224,9238,3963,9343,5264,4806,6997,5538,6093,4074,8715,8706,165,168,2130,8713,3521,8600,8010,9767,2970,13281,689,5818,12106,10680,13309,1595,2799,7150,6057,13044,6475,5801,415,440,471,1437,4775,8036,3057,1747,7122,6124,3292,4848,3782,7701,5981,5331,5704,11097,7317
Total number of holdings reporting insufficiency of their own produce for household consumption for 10 to 12 months,481,667,130,400,285,889,803,233,1693,2926,19129,13781,10020,3193,4029,4686,4614,4139,6087,2795,1917,1409,779,1170,197,2580,1528,8190,2101,1429,2218,793,2255,892,6624,2224,12,36,483,8657,1128,4765,3981,2826,710,3070,44,520,2902,2209,3115,136,2281,4079,2021,6338,4537,4070,9,87,21,133,760,1386,275,303,920,2217,245,1125,700,1423,1255,750,898,8040,5277
Total number of holdings that use their own non_agricultural business as an income source for insufficiency,1457,2786,936,3329,3224,3821,1736,1078,3799,6209,9797,7034,4446,3037,3927,2978,4960,3321,3045,2844,2155,1977,1955,5276,798,4620,2802,7579,2750,2767,6368,2779,2049,3700,5583,4866,411,385,947,4893,1693,3814,3751,4612,1900,3742,694,3543,1970,3145,3502,1550,1728,2778,2710,5552,3395,1604,887,867,1681,1316,1911,2988,2109,1898,1708,3830,1703,1651,2503,2195,1126,1985,2636,3454,2394
Total number of holdings that use wage earning within the country as an income source for insufficiency,9318,13362,11015,16557,12315,13671,11223,6502,16859,25132,37291,40075,28285,20239,29357,29464,29891,25700,35270,31981,25820,16213,20968,27509,5133,30930,18952,19416,11223,12670,23268,22825,21728,20973,23539,24862,268,575,9381,15678,9567,16547,13621,16930,7548,20944,5112,20858,20544,21706,17080,13103,13274,24003,24256,28173,19443,18603,4411,5860,4812,11620,14000,22431,15975,16078,20314,19441,15335,19009,14448,23479,12787,11843,16521,29130,19884
Total number of holdings that use wage earning outside the country_remitance as an income source for insufficiency,824,2041,993,1386,3338,2170,3243,910,2685,4736,15229,11341,6489,5090,5078,9842,11973,7678,5664,2716,1160,1319,1864,2532,325,4592,2130,3691,990,1594,1841,2188,1784,1746,5611,5053,43,178,3248,7238,2856,9432,8088,10264,3579,10793,1151,8928,15124,13701,11504,6022,3404,6886,6067,13121,4484,5680,172,235,174,507,2098,8967,3175,3931,8610,9818,3873,6843,1747,6650,5948,13047,12109,15179,7116
Total number of holdings that use pensions as an income source for insufficiency,347,765,382,632,1091,1334,703,231,950,784,1398,1256,1264,1022,462,440,532,331,281,156,150,175,1089,751,129,1101,806,2271,973,617,1189,1251,480,366,1324,3049,26,0,1149,2747,2221,3640,728,4179,1019,3098,94,363,1429,3484,1590,1704,304,1205,412,1415,676,473,0,47,4,39,142,537,146,111,191,874,249,109,289,406,207,645,716,845,915
Total number of holdings borrowed as an income source for insufficiency,3380,2132,1986,2178,5016,3594,2763,1381,3172,2747,2443,3303,2757,5468,1882,2122,1888,3030,3305,1525,1310,1186,910,1096,255,1782,1005,969,286,786,1248,1597,1678,2023,1198,2455,1,7,189,501,510,739,1057,986,854,2972,279,1613,2584,2856,2174,431,289,1588,1142,929,1159,783,1744,639,184,331,1019,3505,1361,1636,2088,850,433,1296,457,2170,112,2283,2531,1328,610
Total number of holdings use by other sources as an income for insufficiency,136,348,229,461,654,749,513,228,517,1346,2462,1226,603,625,882,247,557,737,908,393,459,260,682,721,60,703,330,469,267,757,953,960,463,493,709,1273,74,30,442,1340,893,1345,793,1257,323,575,116,546,696,664,369,495,422,998,406,923,644,824,63,174,246,223,212,681,392,152,406,565,84,302,58,812,263,666,345,767,529
