District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhthum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Siraha,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kavreplanchok,Ramechap,Sindhuli,Makawanpur,Chitwan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi East,Syangja,Parbat,Baglung,Rukum East,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi West,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekha,Jajarkot,Rukum West,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total number of holdings sold agricultural products does not require any mode of transportation to reach the nearest market,1854,1742,2200,1283,401,771,3674,1331,3088,14058,11231,12704,16786,2416,10420,9600,7232,8782,17885,8547,12836,12622,2842,2589,834,3677,3741,11473,1385,5645,8699,1393,3915,4033,11461,3308,209,1141,3974,6078,1888,3199,1913,1401,2746,1826,391,1311,1219,3558,1680,4973,3403,12359,7479,6359,7204,5416,107,340,524,945,526,1509,2296,371,4777,6058,181,349,433,965,258,769,467,5084,2097
Total number of holdings with an agricultural market next to their household,1716,1180,1330,1090,882,1477,2650,730,3001,3112,9435,11323,5714,2957,5736,3379,5434,5497,5303,3572,6907,3951,3240,6702,1164,8510,6678,12532,5136,6578,9004,3597,3201,5143,8719,9317,62,223,1540,3254,2322,3505,2980,3695,2938,2735,849,2645,3482,4951,4121,4360,2897,5568,2586,5597,4092,3954,1000,710,721,641,566,3562,1001,1672,3922,5670,1273,845,1381,3170,2023,4036,1632,5461,3005
Total number of holdings that can reach the nearest agricultural market on foot in under 30 minutes,1101,2297,1235,2077,2473,3139,1266,1388,3629,2203,12633,13400,4849,5041,9367,10007,12074,9282,7958,4742,3903,2583,5608,4249,946,6873,4874,5758,5516,2511,7054,4561,4636,5547,5466,11908,30,137,2194,8069,4757,4502,5839,5954,2361,3448,1171,1800,4900,10131,4957,4216,2871,6392,2248,9653,2901,3749,243,1030,550,1685,1181,4197,2488,3649,3733,5266,1786,1954,1657,3026,3338,4321,3599,5295,4718
Total number of holdings that can reach the nearest agricultural market on foot in 30 to 59 minutes,1605,3393,2782,2714,3988,5056,1746,2935,4019,3860,5442,5677,2151,3934,6960,6571,9454,6404,5777,3449,1900,2682,4439,4766,797,5444,5527,1481,1069,931,5167,4828,3303,3205,1959,6671,9,60,1430,3612,3423,3174,2048,3264,2424,3879,991,2670,4374,7396,3937,4573,1623,4575,2351,6539,1734,2273,321,442,216,1529,1786,6282,4766,3924,4847,6129,2133,4572,1309,4645,2755,6736,6102,5556,3658
Total number of holdings that can reach the nearest agricultural market on foot in 1 to 2 hours,2878,8974,5340,8879,14210,11963,3619,4669,8561,7411,1639,2165,1068,2543,4591,3145,5704,3640,2750,2165,1726,2106,5291,7254,822,7553,7215,1219,366,1795,4116,9555,6728,3515,656,8809,144,213,2141,1793,4019,3469,1090,2479,2255,6184,2017,6649,9220,7636,2708,3637,1457,1956,1415,4033,1031,2106,2140,2575,2310,3795,8526,13472,10129,9883,10161,12177,10049,7820,5873,13070,2692,7482,15613,4807,2460
Total number of holdings that can reach the nearest agricultural market on foot in more than 2 hours,2313,4766,3022,4119,10427,5174,1366,1836,2528,1648,282,351,121,2059,329,347,466,259,1039,239,214,300,758,2477,1301,4088,1266,33,15,50,596,1598,2927,899,183,1908,175,15,795,88,991,691,242,242,269,1227,1980,3216,1935,980,485,542,229,135,126,535,308,13,4424,2145,3749,3062,6468,4706,6819,6186,2862,3870,7401,4696,3720,6767,2100,5900,7643,1801,329
Total number of holdings that can reach the nearest agricultural market on a bycycle_rickshaw under 30 minutes,31,12,26,74,112,52,33,24,0,667,33501,32056,21971,2539,13680,14236,12219,9878,9026,17486,13549,6362,44,93,13,101,113,1111,467,682,70,10,487,254,12739,208,0,2,34,66,35,80,10082,192,39,45,0,551,88,73,35,54,10186,22392,20215,5640,9444,14217,0,0,0,48,118,131,49,44,34,1295,12,76,14,49,114,219,88,20984,18464
Total number of holdings that can reach the nearest agricultural market on a bycycle_rickshaw in 30 to 59 minutes,14,0,15,10,69,73,24,49,12,402,10993,13000,12290,1022,13311,12132,6001,4127,6160,10530,8966,5241,10,11,6,0,62,165,115,197,45,30,75,139,3583,92,0,6,8,58,0,7,3249,78,26,71,8,278,18,54,61,44,7260,12352,12798,2742,10758,15248,0,0,0,15,8,175,59,31,15,789,0,6,0,35,166,49,9,18491,17091
Total number of holdings that can reach the nearest agricultural market on a bycycle_rickshaw in 1 to 2 hours,0,43,77,55,112,60,46,40,68,221,1533,2742,4362,267,4840,2667,2552,2966,5568,3064,4570,2762,43,336,6,144,96,15,26,114,49,107,83,90,610,59,0,3,9,65,0,47,1164,85,0,82,34,110,103,92,30,88,5111,5893,4020,954,6208,9958,0,0,0,13,80,282,36,30,58,134,137,44,17,140,66,41,16,8328,7363
